IF 6,WHILE 24,MINUS 26,PLUS 28,DIGIT 66,ID 522,
523
105	1	2	
102	3	4	
36	5	1	
36	2	3	
36	4	6	
36	0	5	
119	7	8	
104	9	10	
36	11	7	
36	8	9	
36	10	12	
105	13	14	
36	15	11	
36	12	13	
36	14	16	
108	17	18	
36	19	15	
36	16	17	
36	18	20	
101	21	22	
36	23	19	
36	20	21	
36	22	24	
36	0	23	
45	25	26	
36	0	25	
43	27	28	
36	0	27	
48	29	30	
49	31	32	
36	33	29	
36	33	31	
36	30	34	
36	32	34	
50	35	36	
36	37	33	
36	37	35	
36	34	38	
36	36	38	
51	39	40	
36	41	37	
36	41	39	
36	38	42	
36	40	42	
52	43	44	
36	45	41	
36	45	43	
36	42	46	
36	44	46	
53	47	48	
36	49	45	
36	49	47	
36	46	50	
36	48	50	
54	51	52	
36	53	49	
36	53	51	
36	50	54	
36	52	54	
55	55	56	
36	57	53	
36	57	55	
36	54	58	
36	56	58	
56	59	60	
36	61	57	
36	61	59	
36	58	62	
36	60	62	
57	63	64	
36	65	61	
36	65	63	
36	62	66	
36	64	66	
36	0	65	
97	67	68	
98	69	70	
36	71	67	
36	71	69	
36	68	72	
36	70	72	
99	73	74	
36	75	71	
36	75	73	
36	72	76	
36	74	76	
100	77	78	
36	79	75	
36	79	77	
36	76	80	
36	78	80	
101	81	82	
36	83	79	
36	83	81	
36	80	84	
36	82	84	
102	85	86	
36	87	83	
36	87	85	
36	84	88	
36	86	88	
103	89	90	
36	91	87	
36	91	89	
36	88	92	
36	90	92	
104	93	94	
36	95	91	
36	95	93	
36	92	96	
36	94	96	
105	97	98	
36	99	95	
36	99	97	
36	96	100	
36	98	100	
106	101	102	
36	103	99	
36	103	101	
36	100	104	
36	102	104	
107	105	106	
36	107	103	
36	107	105	
36	104	108	
36	106	108	
108	109	110	
36	111	107	
36	111	109	
36	108	112	
36	110	112	
109	113	114	
36	115	111	
36	115	113	
36	112	116	
36	114	116	
110	117	118	
36	119	115	
36	119	117	
36	116	120	
36	118	120	
111	121	122	
36	123	119	
36	123	121	
36	120	124	
36	122	124	
112	125	126	
36	127	123	
36	127	125	
36	124	128	
36	126	128	
113	129	130	
36	131	127	
